Index,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,
Name,C3’-C4’,C3’-C4’,C3’-C4’,C3’-C4’,C3’-C4’,C3’-C4’,C3’-C4’,C3’-C4’,C3’-C4’,C3’-C4’,C3’-C4’,C3’-C4’,C3’-C4’,C3’-C4’,C3’-C4’,C3’-C4’,C3’-C4’,C3’-C4’,
Time,20220317082042,20220317082130,20220317091327,20220317093224,20220317093224,20220317093224,20220317104709,20220317105109,20220317105109,20220317105109,20220317105109,20220317114939,20220317114939,20220317114939,20220317114939,20220317114939,20220317114939,20220317114939,
Highcut,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,
Lowcut,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,
Period,0.000156,0.000156,0.000156,0.000156,0.000156,0.000156,0.000156,0.000156,0.000156,0.000156,0.000156,0.000156,0.000156,0.000156,0.000156,0.000156,0.000156,0.000156,
Averages,101,84,38,15,29,57,48,30,41,58,67,13,23,28,37,37,43,43,
Int (mA),45/45mA,55/55mA,55/55mA,55/55mA,55/55mA,55/55mA,55/55mA,55/55mA,55/55mA,55/55mA,55/55mA,45/45mA,45/45mA,45/45mA,45/45mA,45/45mA,45/45mA,45/45mA,
Pulse Width (µs),250µs,250µs,250µs,250µs,250µs,250µs,250µs,250µs,250µs,250µs,250µs,250µs,250µs,250µs,250µs,250µs,250µs,250µs,
Rep Rate (Hz),2.79Hz,2.79Hz,2.79Hz,2.79Hz,2.79Hz,2.79Hz,2.79Hz,2.79Hz,2.79Hz,2.79Hz,2.79Hz,2.79Hz,2.79Hz,2.79Hz,2.79Hz,2.79Hz,2.79Hz,2.79Hz,
Data87,0.135216,0.031245,0.125887,0.046794,0.023678,0.000803,0.186764,-0.046031,0.046614,0.038509,0.000911,-0.142246,-0.183606,-0.156677,-0.120423,-0.120423,-0.082904,-0.082904,
Data88,0.135367,0.035968,0.124883,0.039419,0.015785,-0.000803,0.196619,-0.036812,0.052616,0.041864,0.004470,-0.140889,-0.188001,-0.159811,-0.125475,-0.125475,-0.082993,-0.082993,
Data89,0.134763,0.040327,0.123076,0.032298,0.007893,-0.002677,0.205520,-0.027848,0.058198,0.044922,0.007857,-0.138432,-0.191567,-0.162161,-0.129856,-0.129856,-0.082638,-0.082638,
Data90,0.133705,0.045050,0.120466,0.025686,0.000263,-0.004283,0.213785,-0.019265,0.063409,0.047619,0.011103,-0.134947,-0.194262,-0.163796,-0.133671,-0.133671,-0.081840,-0.081840,
Data91,0.132043,0.049773,0.117254,0.019582,-0.007103,-0.005889,0.221097,-0.010999,0.068200,0.050019,0.014177,-0.130435,-0.196128,-0.164648,-0.136867,-0.136867,-0.080598,-0.080598,
Data92,0.129928,0.054860,0.113238,0.013987,-0.014470,-0.007228,0.227773,-0.003179,0.072620,0.052124,0.017109,-0.124933,-0.197082,-0.164750,-0.139393,-0.139393,-0.078957,-0.078957,
Data93,0.127360,0.059583,0.108419,0.008901,-0.021310,-0.008031,0.233813,0.004196,0.076574,0.053867,0.019871,-0.118478,-0.197082,-0.164069,-0.141301,-0.141301,-0.076872,-0.076872,
Data94,0.124338,0.064669,0.102998,0.004578,-0.027887,-0.008834,0.239217,0.011190,0.080156,0.055281,0.022490,-0.111031,-0.196211,-0.162672,-0.142486,-0.142486,-0.074388,-0.074388,
Data95,0.121166,0.070119,0.096774,0.001017,-0.033675,-0.009102,0.243985,0.017802,0.083320,0.056366,0.024995,-0.102742,-0.194387,-0.160526,-0.143002,-0.143002,-0.071549,-0.071549,
Data96,0.117691,0.075568,0.090349,-0.001780,-0.039200,-0.008834,0.248436,0.024033,0.086111,0.057156,0.027330,-0.093572,-0.191650,-0.157699,-0.142847,-0.142847,-0.068355,-0.068355,
Data97,0.114065,0.081018,0.083322,-0.004323,-0.043935,-0.008031,0.252569,0.029819,0.088484,0.057649,0.029522,-0.083631,-0.188043,-0.154225,-0.142074,-0.142074,-0.064895,-0.064895,
Data98,0.110137,0.086831,0.075693,-0.006104,-0.048408,-0.006960,0.256224,0.035286,0.090531,0.057846,0.031571,-0.072994,-0.183606,-0.150138,-0.140682,-0.140682,-0.061214,-0.061214,
Data99,0.106058,0.092644,0.067662,-0.007630,-0.052091,-0.005622,0.259562,0.040373,0.092205,0.057780,0.033536,-0.061770,-0.178423,-0.145574,-0.138775,-0.138775,-0.057310,-0.057310,
Data100,0.101828,0.098094,0.059229,-0.008647,-0.055511,-0.003748,0.262582,0.045141,0.093508,0.057517,0.035386,-0.050069,-0.172576,-0.140567,-0.136403,-0.136403,-0.053274,-0.053274,
Data101,0.097144,0.103543,0.050194,-0.009664,-0.058405,-0.001874,0.265284,0.049528,0.094532,0.057057,0.037151,-0.038038,-0.166108,-0.135219,-0.133516,-0.133516,-0.049104,-0.049104,
Data102,0.092158,0.108266,0.040758,-0.010681,-0.061036,0.000000,0.267510,0.053661,0.095229,0.056432,0.038802,-0.025676,-0.159100,-0.129531,-0.130217,-0.130217,-0.044846,-0.044846,
Data103,0.087022,0.112989,0.030920,-0.011444,-0.063667,0.002142,0.269258,0.057412,0.095601,0.055643,0.040368,-0.013168,-0.151595,-0.123605,-0.126557,-0.126557,-0.040499,-0.040499,
